cross,mean,SE,sex,enviro,sire,dam
P1,64.7826087,3.020324121,U,35,1,1
P2,37.88888889,6.700350634,U,35,2,2
F1,58.83333333,4.515138251,U,35,2,1
rF1,66.68,4.905683778,U,35,1,2
F2a,32.75,5.226860985,U,35,3,3
F2b,42.33333333,4.383739467,U,35,3,4
rF2a,26.33333333,4.992924286,U,35,4,3
rF2b,33.08333333,5.645403512,U,35,4,4
BC1a,31.13636364,3.469281058,U,35,3,1
BC1b,32.75,3.04170572,U,35,4,1
rBC1a,36.52380952,4.161970142,U,35,1,3
rBC1b,54.38095238,5.549979061,U,35,1,4
BC2a,17.61904762,3.420161644,U,35,3,2
BC2b,19.42857143,3.102665082,U,35,4,2
rBC2a,7.761904762,1.729168203,U,35,2,3
rBC2b,16.04761905,2.868113857,U,35,2,4
P1,60.04347826,2.936399789,U,29,17,17
P2,58.76,2.980648699,U,29,18,18
F1,69.83333333,5.272524719,U,29,18,17
rF1,73.20833333,5.267819712,U,29,17,18
F2a,36.25,4.835357465,U,29,19,19
F2b,49.08333333,4.101844251,U,29,19,20
rF2a,25.41666667,5.680186634,U,29,20,19
rF2b,34.91666667,6.065873658,U,29,20,20
BC1a,43.72727273,3.681109974,U,29,19,17
BC1b,38.85,3.474171617,U,29,20,17
rBC1a,51.66666667,4.573908058,U,29,17,19
rBC1b,58.42857143,5.151777977,U,29,17,20
BC2a,25.33333333,4.612784168,U,29,19,18
BC2b,26.52380952,3.869673942,U,29,20,18
rBC2a,8.952380952,2.200082456,U,29,18,19
rBC2b,19.95238095,2.071893763,U,29,18,20
P1,62.04347826,2.897101087,U,26,33,33
P2,53.76470588,6.776651856,U,26,34,34
F1,60.16,5.507776321,U,26,34,33
rF1,67.41666667,4.194940304,U,26,33,34
F2a,20.08333333,4.99007854,U,26,35,35
F2b,14.66666667,3.859920971,U,26,35,36
rF2a,28.41666667,3.331344103,U,26,36,35
rF2b,42.25,4.78970645,U,26,36,36
BC1a,28.45454545,4.097157326,U,26,35,33
BC1b,20.5,3.277113621,U,26,36,33
rBC1a,40.9047619,4.858916576,U,26,33,35
rBC1b,57.57142857,5.141600376,U,26,33,36
BC2a,9.476190476,2.372078702,U,26,35,34
BC2b,26.38095238,3.272887316,U,26,36,34
rBC2a,6.333333333,1.766531891,U,26,34,35
rBC2b,17.61904762,2.668579246,U,26,34,36